id,sub_category,code,description,is_active,local_code
10040,SEROLOGY,86663,Epstein Barr Virus IgM- Serum,TRUE,
10041,SEROLOGY,86705,Hepatitis B Core Igm Antibody (HBcAb),TRUE,
10042,SEROLOGY,86709,Hepatitis A Antibody (IgM ),TRUE,
10043,SEROLOGY,86707,Hepatitis B Envelope Antibody (HBeAb),TRUE,
10044,SEROLOGY,87350,Hepatitis B Envelope Antigen (HBeAg),TRUE,
10045,SEROLOGY,86706,Hepatitis B Surface Antibody (HBsAb),TRUE,
10046,SEROLOGY,87340,Hepatitis B Surface Antigen (HBsAg),TRUE,
10047,SEROLOGY,86803,Hepatitis C Antibody (HCVAb),TRUE,
10048,SEROLOGY,86695,Herpes Simplex Virus - Type 1(HSV-1) IgG & IgM,TRUE,
10049,SEROLOGY,86696,Herpes Simplex Virus - Type 2(HSV-2) IgG & IgM,TRUE,
10050,SEROLOGY,86689,HIV 1 & 2 Antibodies (ELISA),TRUE,
10051,SEROLOGY,87338,Helicobacter Pylori (H.pylori) Antigen test,TRUE,
10424,UROLOGY,54650,Orchidopexy,TRUE,
10052,SEROLOGY,86677,Helicobacter Pylori (H.pylori) Antibody test,TRUE,
10053,SEROLOGY,81025,Urine for pregnancy test (UPT),TRUE,
10054,SEROLOGY,86757,Proteus abortus antibody test (Rapid),TRUE,
10055,SEROLOGY,86430,Rheumatoid Factor (RF) Qualitative,TRUE,
10056,SEROLOGY,86592,"Syphilis screening Test (VDRL, RPR or SD Bioline)",TRUE,
10057,SEROLOGY,86762,Rubella Antibody Test (IgG /IgM),TRUE,
10058,SEROLOGY,86777,Toxoplasma Antibody Test (IgG),TRUE,
10059,SEROLOGY,86778,Toxoplasma Antibody Test (IgM),TRUE,
10060,SEROLOGY,86780,Treponema Pallidum Haemagglutination Test (TPHA/TPPA),TRUE,
10061,SEROLOGY,86768,Widal Test,TRUE,
10062,SEROLOGY,84480,Tri - Iodothyronine Hormone (T3),TRUE,
10063,SEROLOGY,84437,Thyroxine Hormone (T4),TRUE,
10064,SEROLOGY,84155,Total Protein Serum,TRUE,
10065,SEROLOGY,84443,Thyroid Stimulating Hormone (TSH),TRUE,
10066,SEROLOGY,84520,Urea Nitrogen (Bun)/Post Dialysis Urea Nitrogen (BUN),TRUE,
10067,SEROLOGY,86021,Anti Neutrophil Cystoplasmic Antibodies (ANCA-C),TRUE,
10068,SEROLOGY,86406,Cryptococcal Antigen (CrAg),TRUE,
10069,SEROLOGY,86790,"Antibody Test for Influenza Virus, Rift Valley Fever, Chikungunya Virus, Zika Virus, Dengue Virus,Ebola Virus",TRUE,
10070,SEROLOGY,86431,Rheumatoid Factor (RF) Quantitative,TRUE,
10071,SEROLOGY,82024,Adenocorticotropic Hormone (ACTH),TRUE,
10072,SEROLOGY,86704,Hepatitis B Core Antibody (HBcAb),TRUE,
10073,SEROLOGY,82164,Angiotensin I,TRUE,
10074,SEROLOGY,82163,Angiotensin II,TRUE,
10075,SEROLOGY,82671,Oestrogen,TRUE,
10076,SEROLOGY,86703,HIV 1& 2 Antibody Rapid Test,TRUE,
10077,SEROLOGY,86708,Hepatitis A Antibody,TRUE,
10078,SEROLOGY,86022,Anti-Neutrophil Cystoplasmic Antibody(ANCA-P),TRUE,
10079,SEROLOGY,86225,Anti-Nuclear Antibody (ANA),TRUE,
10080,SEROLOGY,86403,Brucella Antibody Test (IgG)/ (IgM),TRUE,
10081,SEROLOGY,86828,Toxoplasma Antigen Test,TRUE,
10082,HAEMATOLOGY,85025,Full Blood Picture (FBP) / Complete Blood Count (CBC),TRUE,
10083,HAEMATOLOGY,85097,Bone Marrow Smear Interpretation,TRUE,
10084,HAEMATOLOGY,86360,CD3/CD4/CD8 T Cell Count,TRUE,
10085,HAEMATOLOGY,85651,Erythrocyte Sedimentation Rate (ESR),TRUE,
10086,HAEMATOLOGY,85230,Factor VII,TRUE,
10087,HAEMATOLOGY,85247,Factor VII,TRUE,
10088,HAEMATOLOGY,85384,Fibrinogen,TRUE,
10089,HAEMATOLOGY,82955,Glucose - 6 Phosphatase Dehydrogenase(G-6PGD),TRUE,
10090,HAEMATOLOGY,83026,Haemoglobin (Hb),TRUE,
10091,HAEMATOLOGY,82664,Haemoglobin Electropheresis + Sickling Test,TRUE,
10092,HAEMATOLOGY,86235,Lupus Erythromatous Cell (LE Cell).,TRUE,
10093,HAEMATOLOGY,85705,Partial Thromboplastin Time (PTT),TRUE,
10094,HAEMATOLOGY,85060,Peripheral Blood Smear (PBS),TRUE,
10095,HAEMATOLOGY,81206,Philadelphia Chromosome,TRUE,
10096,HAEMATOLOGY,85049,"Platelet Count, Automated Test",TRUE,
10097,HAEMATOLOGY,85210,Prothrombin Time (PT),TRUE,
10098,HAEMATOLOGY,85660,Sickling Test,TRUE,
10099,HAEMATOLOGY,85002,Bleeding Time,TRUE,
10100,HAEMATOLOGY,85732,Activated Partial Thrombin Time (APTT),TRUE,
10101,HAEMATOLOGY,85045,Reticulocyte Count,TRUE,
10102,BLOOD TRANSFUSION,86900,Blood Group Typing (ABO) and Blood Typing for Rhesus (D) Antigen,TRUE,
10103,BLOOD TRANSFUSION,86850,Red Blood Cells Antibodies Identification,TRUE,
10104,BLOOD TRANSFUSION,86920,Compatability Testing (Cross Matching) for Blood Transfusion,TRUE,
10105,BLOOD TRANSFUSION,86885,Coombs Test (Direct),TRUE,
10106,BLOOD TRANSFUSION,86940,Haemolysin Test,TRUE,
10107,BLOOD TRANSFUSION,86880,Coombs Test (Indirect),TRUE,
10108,BLOOD TRANSFUSION,86985,Preparation of Blood Product,TRUE,
10109,MICROBIOLOGY,87070,"Body Fluids for Culture and Sensitivity (Cerebrospinal Fluids, Pleural,Ascitic, Peritoneal, Pericardial, Synovial Etc.)",TRUE,
10110,MICROBIOLOGY,87040,Blood for Culture and Sensitivity,TRUE,
10111,MICROBIOLOGY,87220,Skin Scraping for KOH,TRUE,
10112,MICROBIOLOGY,87205,Gram Stain,TRUE,
10113,MICROBIOLOGY,87206,Wet Preparation for Microorganisms and Cells,TRUE,
10114,MICROBIOLOGY,87207,"Special Stain (Indian Ink, Nigrosin)",TRUE,
10115,MICROBIOLOGY,87181,Quantitative Antimicrobial Susceptibility Testing,TRUE,
10116,MICROBIOLOGY,87800,"Genital Swabs for Culture and Sensitivity (High Vaginal Swab, Urethral, Vaginal, Endo - Cervical Swabs)",TRUE,
10117,MICROBIOLOGY,87076,"Ear Swab, Nasal Swab, Throat Swab and Eye Swab for Culture and Sensitivity",TRUE,
10118,MICROBIOLOGY,Code,Service Description,TRUE,
10119,MICROBIOLOGY,87075,Pus Swab for Culture and Sensitivity,TRUE,
10120,MICROBIOLOGY,87101,"Scraping for Fungi Culture (Skin, Hair or Nail)",TRUE,
10121,MICROBIOLOGY,87077,Sputum for Culture and Sensitivity,TRUE,
10122,MICROBIOLOGY,87045,Stool for Culture and Sensitivity,TRUE,
10123,MICROBIOLOGY,87088,Urine for Culture and Sensitivity,TRUE,
10124,MICROBIOLOGY,81099,Urine Dipstick,TRUE,
10125,MICROBIOLOGY,87046,Rectal Swab Culture and Sensitivity,TRUE,
10126,MYCOBACTERIOLOGY,87015,Staining of Mycobacteria Species (ZN or Auramine Stains),TRUE,
10127,MYCOBACTERIOLOGY,87190,Mycobacteria Liquid Culture and Drug Susceptibility Testing,TRUE,
10128,MYCOBACTERIOLOGY,87550,"Genotypic Method for Mycobacteria (Xpert® MTB/Rif, LPA, etc.)",TRUE,
10129,MYCOBACTERIOLOGY,87116,Mycobacteria Solid Culture and Drug Susceptibility Testing,TRUE,
10130,MYCOBACTERIOLOGY,87560,Genotypic Methods for Detecting Non Tuberculous Mycobacteria (NTM),TRUE,
10131,MYCOBACTERIOLOGY,87561,Genotypic Drug Susceptibility Testing for NTM,TRUE,
10132,PARASITOLOGY AND MEDICAL ENTOMOLOGY,87177,Blood Smear for Malaria Parasites (BS),TRUE,
10133,PARASITOLOGY AND MEDICAL ENTOMOLOGY,86750,Malaria Rapid Diagnostic Test (MRDT),TRUE,
10134,PARASITOLOGY AND MEDICAL ENTOMOLOGY,87209,"Special Stain for Parasites (Microfilaria, Leshmania, Trypanosoma etc.)",TRUE,
10135,PARASITOLOGY AND MEDICAL ENTOMOLOGY,82272,Stool for Occult Blood,TRUE,
10136,PARASITOLOGY AND MEDICAL ENTOMOLOGY,82274,Stool Analysis,TRUE,
10137,PARASITOLOGY AND MEDICAL ENTOMOLOGY,81005,Urine Analysis,TRUE,
10138,PARASITOLOGY AND MEDICAL ENTOMOLOGY,83883,Urine Bence Jones Protein,TRUE,
10139,PARASITOLOGY AND MEDICAL ENTOMOLOGY,88184,Ham Test for Paroxysmal Nocturnal Hemoglobinuria (PNH),TRUE,
10140,PARASITOLOGY AND MEDICAL ENTOMOLOGY,87210,Knot Technique for Microfilaria,TRUE,
10141,PARASITOLOGY AND MEDICAL ENTOMOLOGY,81015,Urine Analysis (Microscope),TRUE,
10142,PATHOLOGY,88342,Immunohistochemistry (IHC),TRUE,
10143,PATHOLOGY,88323,"Tissue Biopsy Processing, Interpretation and Report",TRUE,
10144,PATHOLOGY,88314,"Frozen Preparation of Specimen, Interpretation and Report",TRUE,
10145,PATHOLOGY,88313,"Special Stained Tissue Specimen Slides, Interpretation and Report",TRUE,
10146,PATHOLOGY,88302,"Tissue Block Staining, Interpretation and Report",TRUE,
10147,PATHOLOGY,88304,Specimen Slides Interpretation and Report,TRUE,
10148,PATHOLOGY,88106,Cytology of Body Fluids,TRUE,
10149,PATHOLOGY,88364,Bone Marrow Aspirate Cytology,TRUE,
10150,PATHOLOGY,88173,Fine Needle Aspiration Cytology (FNAC),TRUE,
10151,PATHOLOGY,88141,Pap Smear,TRUE,
10152,PATHOLOGY,89322,Seminal Fluid Analysis (Cytology),TRUE,
10153,PATHOLOGY,88104,Sputum Cytology,TRUE,
10154,PATHOLOGY,88120,Urine Cytology,TRUE,
10155,PATHOLOGY,88371,Immunocytochemistry,TRUE,
10156,MORTUARY AND FORENSIC SERVICES,88000,Autopsy without Histology,TRUE,
10157,MORTUARY AND FORENSIC SERVICES,88020,Autopsy with Histology,TRUE,
10158,MORTUARY AND FORENSIC SERVICES,88040,"Autopsy with Ancillary Studies (Microbiology, Chemistry/Toxicology,Genetic Etc",TRUE,
10159,MORTUARY AND FORENSIC SERVICES,88045,Preservation of Dead Body,TRUE,
10160,MORTUARY AND FORENSIC SERVICES,88005,Embalming,TRUE,
10161,MORTUARY AND FORENSIC SERVICES,88099,Washing and Decoration of Dead Body,TRUE,
10162,MORTUARY AND FORENSIC SERVICES,88125,Forensic (Investigation) Examination of Specimen,TRUE,
10163,ANDROLOGY,89320,Semen Analysis,TRUE,
10164,MOLECULAR BIOLOGY,87515,Hepatitis B Viral Load,TRUE,
10165,MOLECULAR BIOLOGY,87389,HIV 1/2 Viral Load,TRUE,
10166,MOLECULAR BIOLOGY,87534,PCR- Based Test(Others) test,TRUE,
10167,MOLECULAR BIOLOGY,87149,PCR-Based Assays for Micro Organisms Identification,TRUE,
10168,MOLECULAR BIOLOGY,87522,Hepatitis C Viral Load,TRUE,
10169,MOLECULAR BIOLOGY,87150,"Identification of Organisms by Genetic Analysis (HBV,HCV,CMV, Polyoma)",TRUE,
10170,MOLECULAR BIOLOGY,87185,Genotypic Antimicrobial Susceptibility Testing for Bacteria (PCR-Based),TRUE,
10171,MOLECULAR BIOLOGY,87153,Genome Sequencing Methods,TRUE,
10172,MOLECULAR BIOLOGY,87490,Chlamydia PCR,TRUE,
10173,PLAIN/CONVENTIONAL X RAYS,71010,X-Ray Chest-PA,TRUE,
10174,PLAIN/CONVENTIONAL X RAYS,70100,X-Ray Mandible,TRUE,
10175,PLAIN/CONVENTIONAL X RAYS,70130,X-Ray Mastoid-Bilateral,TRUE,
10176,PLAIN/CONVENTIONAL X RAYS,70140,X-Ray Facial Bones/Orbits,TRUE,
10177,PLAIN/CONVENTIONAL X RAYS,70160,X-Ray Nasal Bone,TRUE,
10178,PLAIN/CONVENTIONAL X RAYS,70190,X-Ray Skull,TRUE,
10179,PLAIN/CONVENTIONAL X RAYS,70210,X-Ray Paranasal Sinuses,TRUE,
10180,PLAIN/CONVENTIONAL X RAYS,70250,X-Ray Skull Studies-Ap And Lateral,TRUE,
