id,sub_category,code,description,code
4575,182,84702,Beta - Human Chorionic Gonadotropin (β-HCG) - Serum,84702
4576,182,82248,Bilirubin Direct,82248
4577,182,82247,Bilirubin Total,82247
4578,182,86140,C-Reactive Protein (CRP),86140
4579,182,82310,Calcium - Serum/Post Dialysis Calcium,82310
4580,182,82435,Chloride – Serum,82435
4581,182,82436,Chloride-Urine,82436
4582,182,82465,Cholesterol (Total),82465
4583,182,82550,Creatine Kinase (CK- MB),82550
4584,182,82565,Creatinine/Post Dialysis Creatinine,82565
4585,182,82945,"Glucose Level on Body Fluids (CSF Ascitic, Peritonial, Pleural, Pericadial, Synovial)",82945
4586,182,84157,"Protein Level on Body Fluids (CSF, Ascitic, Peritonial, Pleural)",84157
4587,182,85397,D-Dimer,85397
4588,182,82728,Ferritin,82728
4589,182,82746,Folic Acid Level (Folate),82746
4590,182,82977,Gamma - Glutamyltransferase (GGT),82977
4591,182,82947,Fasting/Random Blood Glucose (FBG/RBG),82947
4592,182,83036,Glycosylated Haemoglobin (HbA1c),83036
4593,182,83718,High Density Lipoprotein (HDL),83718
4594,182,83540,Iron (Fe),83540
4595,182,83550,Iron Saturation (% Saturation),83550
4596,182,83615,Lactate Dehydrogenase (LDH),83615
4597,182,83721,Low Density Lipoprotein (LDL),83721
4598,182,83735,Magnesium,83735
4599,182,84100,Phosphorus/Post Dialysis Phosphorus,84100
4600,182,84132,Potassium/Post Dialysis Potassium,84132
4601,182,84156,Protein in Urine,84156
4602,182,83690,Lipase Serum,83690
4603,182,84165,Protein Electrophoresis Serum,84165
4604,182,82607,Vitamin B-12 (Cyanocobalamin),82607
4605,182,84295,Sodium/Post Dialysis Sodium,84295
4606,182,84432,Thyroglobulin Antibodies (Tg Ab),84432
4607,182,84466,Transferrin,84466
4608,182,84478,Triglycerides,84478
4609,182,84484,Troponin-I,84484
4610,182,84560,Uric Acid,84560
4611,182,80202,Vancomycin Level,80202
4612,182,82652,"Vitamin D-25 (Dihydroxyvitamin D, 1, 25)",82652
4613,182,83719,Very Low Density Lipoprotein (VLDL),83719
4614,182,82570,24Hr Creatinine Urine,82570
4615,182,84133,24Hr Potassium Urine,84133
4616,182,84300,24Hr Sodium Urine,84300
4617,182,84181,Globulin,84181
4618,182,82374,Carbondioxide Serum,82374
4619,182,82951,Oral Glucose Tolerance Test (OGTT),82951
4620,182,84066,Acid Phosphotase Serum,84066
4621,182,82803,Blood Gas Panel,82803
4622,182,80375,Urine Drug Screening (UDS ),80375
4623,182,80299,Quantitation of Therapeutic Drugs,80299
4624,182,80197,Tacrolimus Level,80197
4625,182,80195,Sirolimus Level,80195
4626,182,80169,Everolimus Level,80169
4627,183,82105,Alpha Feto Protein (AFP),82105
4628,183,83880,Brain Natriuretic Peptide (BNP),83880
4629,183,86304,Cancer Antigen - 125 (CA - 125),86304
4630,183,82378,Carcinoembryonic Antigen (CEA),82378
4631,183,82530,Cortisol,82530
4632,183,80158,Cyclosporine Level,80158
4633,183,82670,Estradiol Level,82670
4634,183,83001,Follicle Stimulating Hormone (FSH),83001
4635,183,83003,Growth Hormone (GH),83003
4636,183,82784,Immunoglobulin A (IgA ),82784
4637,183,86001,Immunoglobulin G (IgG),86001
4638,183,86005,Immunoglobulin E for Allergic Substance (IgE),86005
4639,183,83525,Insulin,83525
4640,183,83002,Luteinizing Hormone (LH),83002
4641,183,84144,Progesterone,84144
4642,183,84146,Prolactin,84146
4643,183,84153,Prostate Specific Antigen (PSA) Measurement,84153
4644,183,84152,Prostate Specific Antigen (PSA) Level,84152
4645,183,84681,C – Peptide,84681
4646,183,84402,Testosterone,84402
4647,183,86812,Immunoglobulin M (IgM),86812
4648,183,86807,Complement Dependent Cytotoxicity Compatibility ( CDCC),86807
4649,183,81371,Human Leukocyte Antigen Typing (HLA Typing),81371
4650,183,88182,Flowcytometry Lymphocyte Crossmatch,88182
4651,183,86316,Tumor Markers Analysis ( Others ),86316
4652,183,86829,Donor Specific Antibody (DSA) to HLA Antigen,86829
4653,183,86830,Panel Reactiveantibody Screening HLA Class I & Ii,86830
4654,184,86060,Anti Streptolysin O Titre (ASOT),86060
4655,184,86039,Autoimmune Antibodies (dsDNA),86039
4656,184,86622,Brucella Abortus Antigen (Ag),86622
4657,184,87147,Chlamydia (ELISA),87147
4658,184,86644,Cytomegalovirus Antibody test (CMC-IgG),86644
4659,184,86645,Cytomegalovirus Antibody test (CMV-IgM),86645
4660,184,86664,Epstein Barr Virus IgG – Serum,86664
4661,184,86663,Epstein Barr Virus IgM- Serum,86663
4662,184,86705,Hepatitis B Core Igm Antibody (HBcAb),86705
4663,184,86709,Hepatitis A Antibody (IgM ),86709
4664,184,86707,Hepatitis B Envelope Antibody (HBeAb),86707
4665,184,87350,Hepatitis B Envelope Antigen (HBeAg),87350
4666,184,86706,Hepatitis B Surface Antibody (HBsAb),86706
4667,184,87340,Hepatitis B Surface Antigen (HBsAg),87340
4668,184,86803,Hepatitis C Antibody (HCVAb),86803
4669,184,86695,Herpes Simplex Virus - Type 1(HSV-1) IgG & IgM,86695
4670,184,86696,Herpes Simplex Virus - Type 2(HSV-2) IgG & IgM,86696
4671,184,86689,HIV 1 & 2 Antibodies (ELISA),86689
4672,184,87338,Helicobacter Pylori (H.pylori) Antigen test,87338
5045,205,54650,Orchidopexy,54650
4673,184,86677,Helicobacter Pylori (H.pylori) Antibody test,86677
4674,184,81025,Urine for pregnancy test (UPT),81025
4675,184,86757,Proteus abortus antibody test (Rapid),86757
4676,184,86430,Rheumatoid Factor (RF) Qualitative,86430
4677,184,86592,"Syphilis screening Test (VDRL, RPR or SD Bioline)",86592
4678,184,86762,Rubella Antibody Test (IgG /IgM),86762
4679,184,86777,Toxoplasma Antibody Test (IgG),86777
4680,184,86778,Toxoplasma Antibody Test (IgM),86778
4681,184,86780,Treponema Pallidum Haemagglutination Test (TPHA/TPPA),86780
4682,184,86768,Widal Test,86768
4683,184,84480,Tri - Iodothyronine Hormone (T3),84480
4684,184,84437,Thyroxine Hormone (T4),84437
4685,184,84155,Total Protein Serum,84155
4686,184,84443,Thyroid Stimulating Hormone (TSH),84443
4687,184,84520,Urea Nitrogen (Bun)/Post Dialysis Urea Nitrogen (BUN),84520
4688,184,86021,Anti Neutrophil Cystoplasmic Antibodies (ANCA-C),86021
4689,184,86406,Cryptococcal Antigen (CrAg),86406
4690,184,86790,"Antibody Test for Influenza Virus, Rift Valley Fever, Chikungunya Virus, Zika Virus, Dengue Virus,Ebola Virus",86790
4691,184,86431,Rheumatoid Factor (RF) Quantitative,86431
4692,184,82024,Adenocorticotropic Hormone (ACTH),82024
4693,184,86704,Hepatitis B Core Antibody (HBcAb),86704
4694,184,82164,Angiotensin I,82164
4695,184,82163,Angiotensin II,82163
4696,184,82671,Oestrogen,82671
4697,184,86703,HIV 1& 2 Antibody Rapid Test,86703
4698,184,86708,Hepatitis A Antibody,86708
4699,184,86022,Anti-Neutrophil Cystoplasmic Antibody(ANCA-P),86022
4700,184,86225,Anti-Nuclear Antibody (ANA),86225
4701,184,86403,Brucella Antibody Test (IgG)/ (IgM),86403
4702,184,86828,Toxoplasma Antigen Test,86828
4703,185,85025,Full Blood Picture (FBP) / Complete Blood Count (CBC),85025
4704,185,85097,Bone Marrow Smear Interpretation,85097
4705,185,86360,CD3/CD4/CD8 T Cell Count,86360
4706,185,85651,Erythrocyte Sedimentation Rate (ESR),85651
4707,185,85230,Factor VII,85230
4708,185,85247,Factor VII,85247
4709,185,85384,Fibrinogen,85384
4710,185,82955,Glucose - 6 Phosphatase Dehydrogenase(G-6PGD),82955
4711,185,83026,Haemoglobin (Hb),83026
4712,185,82664,Haemoglobin Electropheresis + Sickling Test,82664
4713,185,86235,Lupus Erythromatous Cell (LE Cell).,86235
4714,185,85705,Partial Thromboplastin Time (PTT),85705
4715,185,85060,Peripheral Blood Smear (PBS),85060
4716,185,81206,Philadelphia Chromosome,81206
4717,185,85049,"Platelet Count, Automated Test",85049
4718,185,85210,Prothrombin Time (PT),85210
4719,185,85660,Sickling Test,85660
4720,185,85002,Bleeding Time,85002
4721,185,85732,Activated Partial Thrombin Time (APTT),85732
4722,185,85045,Reticulocyte Count,85045
4723,186,86900,Blood Group Typing (ABO) and Blood Typing for Rhesus (D) Antigen,86900
4724,186,86850,Red Blood Cells Antibodies Identification,86850
4725,186,86920,Compatability Testing (Cross Matching) for Blood Transfusion,86920
4726,186,86885,Coombs Test (Direct),86885
4727,186,86940,Haemolysin Test,86940
4728,186,86880,Coombs Test (Indirect),86880
4729,186,86985,Preparation of Blood Product,86985
4730,187,87070,"Body Fluids for Culture and Sensitivity (Cerebrospinal Fluids, Pleural,Ascitic, Peritoneal, Pericardial, Synovial Etc.)",87070
4731,187,87040,Blood for Culture and Sensitivity,87040
4732,187,87220,Skin Scraping for KOH,87220
4733,187,87205,Gram Stain,87205
4734,187,87206,Wet Preparation for Microorganisms and Cells,87206
4735,187,87207,"Special Stain (Indian Ink, Nigrosin)",87207
4736,187,87181,Quantitative Antimicrobial Susceptibility Testing,87181
4737,187,87800,"Genital Swabs for Culture and Sensitivity (High Vaginal Swab, Urethral, Vaginal, Endo - Cervical Swabs)",87800
4738,187,87076,"Ear Swab, Nasal Swab, Throat Swab and Eye Swab for Culture and Sensitivity",87076
4739,187,Code,Service Description,Code
4740,187,87075,Pus Swab for Culture and Sensitivity,87075
4741,187,87101,"Scraping for Fungi Culture (Skin, Hair or Nail)",87101
4742,187,87077,Sputum for Culture and Sensitivity,87077
4743,187,87045,Stool for Culture and Sensitivity,87045
4744,187,87088,Urine for Culture and Sensitivity,87088
4745,187,81099,Urine Dipstick,81099
4746,187,87046,Rectal Swab Culture and Sensitivity,87046
4747,188,87015,Staining of Mycobacteria Species (ZN or Auramine Stains),87015
4748,188,87190,Mycobacteria Liquid Culture and Drug Susceptibility Testing,87190
4749,188,87550,"Genotypic Method for Mycobacteria (Xpert® MTB/Rif, LPA, etc.)",87550
4750,188,87116,Mycobacteria Solid Culture and Drug Susceptibility Testing,87116
4751,188,87560,Genotypic Methods for Detecting Non Tuberculous Mycobacteria (NTM),87560
4752,188,87561,Genotypic Drug Susceptibility Testing for NTM,87561
4753,189,87177,Blood Smear for Malaria Parasites (BS),87177
4754,189,86750,Malaria Rapid Diagnostic Test (MRDT),86750
4755,189,87209,"Special Stain for Parasites (Microfilaria, Leshmania, Trypanosoma etc.)",87209
4756,189,82272,Stool for Occult Blood,82272
4757,189,82274,Stool Analysis,82274
4758,189,81005,Urine Analysis,81005
4759,189,83883,Urine Bence Jones Protein,83883
4760,189,88184,Ham Test for Paroxysmal Nocturnal Hemoglobinuria (PNH),88184
4761,189,87210,Knot Technique for Microfilaria,87210
4762,189,81015,Urine Analysis (Microscope),81015
4763,190,88342,Immunohistochemistry (IHC),88342
4764,190,88323,"Tissue Biopsy Processing, Interpretation and Report",88323
4765,190,88314,"Frozen Preparation of Specimen, Interpretation and Report",88314
4766,190,88313,"Special Stained Tissue Specimen Slides, Interpretation and Report",88313
4767,190,88302,"Tissue Block Staining, Interpretation and Report",88302
4768,190,88304,Specimen Slides Interpretation and Report,88304
4769,190,88106,Cytology of Body Fluids,88106
4770,190,88364,Bone Marrow Aspirate Cytology,88364
4771,190,88173,Fine Needle Aspiration Cytology (FNAC),88173
4772,190,88141,Pap Smear,88141
4773,190,89322,Seminal Fluid Analysis (Cytology),89322
4774,190,88104,Sputum Cytology,88104
4775,190,88120,Urine Cytology,88120
4776,190,88371,Immunocytochemistry,88371
4777,191,88000,Autopsy without Histology,88000
4778,191,88020,Autopsy with Histology,88020
4779,191,88040,"Autopsy with Ancillary Studies (Microbiology, Chemistry/Toxicology,Genetic Etc",88040
4780,191,88045,Preservation of Dead Body,88045
4781,191,88005,Embalming,88005
4782,191,88099,Washing and Decoration of Dead Body,88099
4783,191,88125,Forensic (Investigation) Examination of Specimen,88125
4784,192,89320,Semen Analysis,89320
4785,193,87515,Hepatitis B Viral Load,87515
4786,193,87389,HIV 1/2 Viral Load,87389
4787,193,87534,PCR- Based Test(Others) test,87534
4788,193,87149,PCR-Based Assays for Micro Organisms Identification,87149
4789,193,87522,Hepatitis C Viral Load,87522
4790,193,87150,"Identification of Organisms by Genetic Analysis (HBV,HCV,CMV, Polyoma)",87150
4791,193,87185,Genotypic Antimicrobial Susceptibility Testing for Bacteria (PCR-Based),87185
4792,193,87153,Genome Sequencing Methods,87153
4793,193,87490,Chlamydia PCR,87490
4794,194,71010,X-Ray Chest-PA,71010
4795,194,70100,X-Ray Mandible,70100
4796,194,70130,X-Ray Mastoid-Bilateral,70130
4797,194,70140,X-Ray Facial Bones/Orbits,70140
4798,194,70160,X-Ray Nasal Bone,70160
4799,194,70190,X-Ray Skull,70190
4800,194,70210,X-Ray Paranasal Sinuses,70210
4801,194,70250,X-Ray Skull Studies-Ap And Lateral,70250
4802,194,70330,Plain X-ray Temporal Mandibular Joints (TMJ),70330
4803,194,71020,X-Ray Chest-Pa And Lateral,71020
4804,194,71111,X-Ray Ribs,71111
4805,194,71120,X-Ray Sternum,71120
4806,194,72050,X-Ray Cervical Spine,72050
4807,194,72052,X-Ray Cervical Spine-Oblique,72052
4808,194,72070,X-Ray Thoracic Spine-Ap And Lateral,72070
4809,194,72074,X-Ray Thoracic Spine-Oblique,72074
4810,194,72082,X-Ray Total Spine,72082
4811,194,72100,X-Ray Lumbosacral Ap & Lateral,72100
4812,194,72110,X-Ray Lumbar Spine-Oblique,72110
4813,194,72170,X-Ray Pelvis,72170
4814,194,73000,X-Ray Clavicle,73000
4815,194,73010,X-Ray Scapula,73010
4816,194,73030,X-Ray Shoulder,73030
4817,194,73060,X-Ray Humerus,73060
4818,194,73070,X-Ray Elbow,73070
4819,194,73090,X-Ray Forearm (Radius/Ulna),73090
4820,194,73100,X-Ray Wrist,73100
4821,194,73130,X-Ray Hand,73130
4822,194,73140,X-Ray Finger,73140
4823,194,73501,X-Ray Pelvis and Femur (Pediatric),73501
4824,194,73502,X-Ray Hip,73502
4825,194,73552,X-Ray Femur,73552
4826,194,73562,X-Ray Knee-AP and Lateral,73562
4827,194,73564,X-Ray Both Knees,73564
4828,194,73590,X-ray leg (Tibia/fibula),73590
4829,194,73610,X-Ray Ankle,73610
4830,194,73620,X-Ray Foot,73620
4831,194,73650,X-Ray Calcaneum,73650
4832,194,73660,X-Ray Toe,73660
4833,194,74020,X-Ray Abdomen-Supine/Erect,74020
4834,194,74241,X-Ray Abdomen-KUB,74241
4835,194,76140,X-Ray /Fluoroscopic Report,76140
4836,194,77065,Mammography of Single Breast,77065
4837,194,77076,X-Ray Skeletal Survey,77076
4838,194,72072,X-Ray Lumbar Spine,72072
4839,194,72080,X-Ray Thoraco- Lumbar Spine,72080
4840,194,73110,X-Ray Wrist Joint,73110
4841,194,73522,X-Ray Hip Joint,73522
4842,194,73551,X-RAY Femur (Thigh),73551
4843,194,73560,X-Ray Knee Joint,73560
4844,194,73600,X-Ray Ankle Joint,73600
4845,194,74000,X-Ray Abdomen,74000
4846,194,73565,X-Ray Knee Weight Bearings,73565
4847,194,72114,X-Ray Lumbar Spine/ Extension and Flexion,72114
4848,194,77075,X-Ray Survey of Forearm or Wrist Bone Density,77075
4849,194,77066,Mammography of Both Breasts,77066
4850,195,76700,Ultrasound Abdominal,76700
4851,195,76641,Ultrasound Breast,76641
4852,195,76506,Ultrasound Cranial,76506
4853,195,76770,Ultrasound KUB,76770
4854,195,76815,Ultrasound Obstetric,76815
4855,195,76856,Ultrasound Pelvis,76856
4856,195,76775,Ultrasound Renal,76775
4857,195,76870,Ultrasound Scrotum,76870
4858,195,76536,Ultrasound Head and Neck / Thyroid,76536
4859,195,93971,Ultrasound Vascular Doppler,93971
4860,195,93880,Doppler Ultrasound of Head and Neck,93880
4861,195,93922,Doppler ultrasound of upper limbs,93922
4862,195,93923,Doppler Ultrasound of Lower Limbs,93923
4863,195,93975,Dopller Ultrasound of Abdomen/Pelvis/Scrotum,93975
4864,195,93976,Dopller Ultrasound of Abdomen/Pelvis/Scrotum(Limited),93976
4865,195,93980,Penile Doppler,93980
4866,195,93990,Ultrasound Doppler Dialysis Access/Fistula Assessment,93990
4867,195,76820,Ultrasound of Fetal Umbilical Artery Flow Rate,76820
4868,195,76821,Ultrasound of Fetal Brain Artery,76821
4869,195,76825,Ultrasound of Fetal Heart Blood Flow,76825
4870,195,76873,Ultrasound of Prostate,76873
4871,195,76881,Ultrasound of Leg,76881
4872,195,76882,Ultrasound of Arm,76882
4873,195,76812,Follow-up Obstetrics Ultrasound,76812
4874,195,76830,Transvaginal Ultrasound (TVS),76830
4875,195,76872,Transrectal Ultrasound (TRS),76872
4876,195,76705,Ultrasound Abdominal Emergency,76705
4877,195,76965,Ultrasound Follow-up Study,76965
4878,195,93886,Transcranial Doppler Ultrasound(TCD),93886
4879,195,76604,Ultrasound of Chest,76604
4880,196,36005,Angio/Venogram,36005
4881,196,51610,Antegrade / Retrograde Urethrography,51610
4882,196,74249,Barium Follow Through,74249
4883,196,74270,Barium Enema,74270
4884,196,74246,Barium Meal - Single Contrast,74246
4885,196,74230,Barium Swallow,74230
4886,196,75984,Fistulogram,75984
4887,196,58340,Hysterosalpingogram (HSG),58340
4888,196,74400,Intra-Venous Urethrography (IVU),74400
4889,196,51600,Micturating Cystourethrography (MCUG),51600
4890,196,62284,Myelography,62284
4891,196,74420,Retrograde Pyelography,74420
4892,196,70380,Sialography,70380
4893,196,76080,Sinography,76080
4894,196,74251,Small Bowel Enema,74251
4895,196,74430,Cystourethrography,74430
4896,196,74485,Ureterogram,74485
4897,196,74283,Barium Enema - Double Contrast,74283
4898,196,78261,Barium Meal - Double Contrast,78261
4899,197,74150,CT Scan Abdomen,74150
4900,197,74176,CT Scan Abdomen Plus Pelvic,74176
4901,197,72125,CT Scan Cervical Spine,72125
4902,197,71250,CT Scan Chest/ Hrct,71250
4903,197,77013,CT Scan Guided Ablation,77013
4904,197,70450,CT Scan Head/ Brain,70450
4905,197,72131,CT Scan Lumbo-Sacral Spine,72131
4906,197,72192,CT Scan Pelvis,72192
4907,197,70486,CT Scan Paranasal Sinuses (Pns),70486
4908,197,76497,CT Scan Report,76497
4909,197,70480,CT Scan Temporal Bone,70480
4910,197,72128,CT Scan Thoratic Spine,72128
4911,197,73700,CT Scan Knee,73700
4912,197,72126,CT Scan Cervical Spine with Contrast,72126
4913,197,71275,CT Scan of Blood Vessels in Chest with Contrast,71275
4914,197,70496,CT Scan of Blood Vessel of Head with Contrast,70496
4915,197,74174,CT Scan of Abdominal and Pelvic Blood Vessels with Contrast,74174
4916,197,74175,CT Scan of Abdominal Blood Vessels with Contrast,74175
4917,197,73706,CT Scan of Lower Leg Blood Vessels with Contrast,73706
4918,197,73206,CT Scan of Arm Blood Vessels with Contrast,73206
4919,197,70498,CT Scan of Neck Blood Vessels with Contrast,70498
4920,197,75574,CT Scan of Heart Blood Vessels and Grafts with Contrast Dye,75574
4921,197,75572,CT Scan of Heart Structure with Contrast (Coronary Angiography),75572
4922,197,77012,CT Scan Guided Biopsy,77012
4923,198,74181,MRI Abdomen/KUB,74181
4924,198,74182,MRI Abdomen with Contrast,74182
4925,198,73721,"MRI Lower Extremity Joints Left/Right - Hip, Knee, Ankle",73721
4926,198,73224,"MRI Anthrogram Lower Extremity Joints Left/Right - Hip, Knee, Ankle",73224
4927,198,73223,"MRI Lower Extremity Joints Left/Right with Contrast - Hip, Knee, Ankle",73223
4928,198,72195,"MRI Pelvis (Male/Female)-Testis, Penis, Uterus, Bladder, Prostate, Fistula",72195
4929,198,70551,MRI Brain,70551
4930,198,77059,MRI Breast,77059
4931,198,77058,MRI Breast Implant Evaluation,77058
4932,198,72141,MRI Cervical Spine,72141
4933,198,71550,MRI Chest,71550
4934,198,73718,"MRI Lower Extremity Left / Right (Thigh, Leg, Foot)",73718
4935,198,73719,"MRI Lower Extremity Left / Right (Thigh, Leg, Foot) with Contrast",73719
4936,198,73218,"MRI Upper Extremity Left / Right (Arm, Fore Arm, Hand)",73218
4937,198,73219,"MRI Upper Extremity Left / Right (Arm, Fore Arm, Hand) with Contrast",73219
4938,198,75557,MRI Heart Morphology,75557
4939,198,76390,Magnetic Resonance Cholangiopancreatography (MRCP),76390
4940,198,70540,MRI Neck,70540
4941,198,72196,MRI Pelvis with Contrast,72196
4942,198,73222,"MRI Arm Joint with Contrast (Right/Left) - Shoulder, Elbow, Wrist",73222
4943,198,73221,"MRI Arm Joint (Right/Left) - Shoulder, Elbow, Wrist",73221
4944,198,74183,MRI Small Bowel (MRI Enteroclysis),74183
4945,198,72146,MRI Thoracic Spine,72146
4946,198,77021,MRI Guided Biopsy,77021
4947,198,72156,MRI Brachial Plexus,72156
4948,199,72159,MRA Spinal Canal Blood Vessel,72159
4949,199,72198,MRA of Pelvic Blood Vessel,72198
4950,199,70544,MRA Scan of Head Blood Vessels Before and after Contrast,70544
4951,199,70545,MRA SCAN of Head Blood Vessels with Contrast,70545
4952,199,70546,MRA Scan of Head Blood Vessels Before and after Contrast,70546
4953,199,70547,MRA Scan of Neck Blood Vessels,70547
4954,199,70548,MRA Scan of Neck Blood Vessels with Contrast,70548
4955,199,73725,MRA / MRV Scan of Leg Blood Vessel,73725
4956,199,73225,MRA / MRV Scan of Arm Blood Vessel,73225
4957,199,74185,MRA / MRV Scan of Blood Vessels of Abdomen,74185
4958,199,75565,MRA Coronary (Heart Vessels),75565
4959,200,76940,Ultrasound Guided for Needle Insertion,76940
4960,200,76942,Ultrasound Guided for Chorionic Villus Sampling,76942
4961,200,76941,Ultrasound Guided FNAC,76941
4962,200,76945,Ultrasound Guided for Amniocentensis,76945
4963,200,76946,Ultrasound Guided IVF (In Vitro Fertilization),76946
4964,200,76948,Ultrasound Guided Radiation Therapy,76948
4965,200,76970,Ultrasound Guided for Endoscopy,76970
4966,200,76975,Ultrasonic Guidance during Surgery,76975
4967,200,76998,Ultrasound of Bone Density Measurement,76998
4968,200,76977,Ultrasound Guided Pericardiocentesis,76977
4969,200,76930,Ultrasonic Guidance for Biopsy of Heart Wall,76930
4970,200,76932,Ultrasound Guidance for Repair of Blood Vessel,76932
4971,201,50382,Percutaneous Imaging Ureterostomy (Removal and Replacement),50382
